Date,MoonPhase,Season,Month,PoyaName,PakkhaType,special
2033-02-14,FullMoon,Hemanta,Magha,Phagguna,15,
2033-02-28,NewMoon,Hemanta,Phagguna,Phagguna,14,
2033-03-15,FullMoon,Hemanta,Phagguna,Citta,15,
2033-03-30,NewMoon,Gimhana,Citta,Citta,15,
2033-04-14,FullMoon,Gimhana,Citta,Vesākha,15,
2033-04-28,NewMoon,Gimhana,Vesakha,Vesākha,14,
2033-05-13,FullMoon,Gimhana,Vesakha,Jeṭṭha,15,
2033-05-28,NewMoon,Gimhana,Jettha,Jeṭṭha,15,
2033-06-12,FullMoon,Gimhana,Jettha,Āsāḷha,15,
2033-06-26,NewMoon,Gimhana,Asalha,Āsāḷha,14,
2033-07-11,FullMoon,Gimhana,Asalha,Sāvana,15,
2033-07-12,,Vassana,Savana,Sāvana,1,Purimikā vassūpanāyikā  
2033-07-26,NewMoon,Vassana,Savana,Sāvana,15,
2033-08-10,FullMoon,Vassana,Savana,Sāvana,15,
2033-08-11,,Vassana,Potthapada,Potthapada,1,Pacchimikā vassūpanāyikā  
2033-08-24,NewMoon,Vassana,Potthapada,Poṭṭhapāda,14,
2033-09-08,FullMoon,Vassana,Potthapada,Poṭṭhapāda,15,
2033-09-23,NewMoon,Vassana,Assayuja,Assayuja,15,
2033-10-08,FullMoon,Vassana,Assayuja,Assayuja,15,Purimikā Pavāraṇā
2033-10-22,NewMoon,Vassana,Kattika,Kattika,14,
2033-11-06,FullMoon,Vassana,Kattika,Kattika,15,Pacchimikā Pavāraṇā
2033-11-21,NewMoon,Hemanta,Maghasira,Māghasira,15,
2033-12-06,FullMoon,Hemanta,Maghasira,Phussa,15,
2033-12-20,NewMoon,Hemanta,Phussa,Phussa,14,
2034-01-04,FullMoon,Hemanta,Phussa,Phussa,15,
2034-01-19,NewMoon,Hemanta,Magha,Māgha,15,
2034-02-03,FullMoon,Hemanta,Magha,Phagguna,15,
